Company,Exchange,Symbol,Industry,Date_Added
3M,NYSE,MMM,Conglomerate,1976-08-09
American Express,NYSE,AXP,Financial services,1982-08-30
Amgen,NASDAQ,AMGN,Pharmaceutical industry,2020-08-31
Apple Inc.,NASDAQ,AAPL,Information technology,2015-03-19
Boeing,NYSE,BA,Aerospace and defense,1987-03-12
Caterpillar Inc.,NYSE,CAT,Construction and Mining,1991-05-06
Chevron Corporation,NYSE,CVX,Petroleum industry,2008-02-19
Cisco Systems,NASDAQ,CSCO,Information technology,2009-06-08
The Coca-Cola Company,NYSE,KO,Food industry,1987-03-12
Dow Inc.,NYSE,DOW,Chemical industry,2019-04-02
Goldman Sachs,NYSE,GS,Financial services,2013-09-20
The Home Depot,NYSE,HD,Retailing,1999-11-01
Honeywell,NASDAQ,HON,Conglomerate,2020-08-31
IBM,NYSE,IBM,Information technology,1979-06-29
Intel,NASDAQ,INTC,Information technology,1999-11-01
Johnson & Johnson,NYSE,JNJ,Pharmaceutical industry,1997-03-17
JPMorgan Chase,NYSE,JPM,Financial services,1991-05-06
McDonald's,NYSE,MCD,Food industry,1985-10-30
Merck & Co.,NYSE,MRK,Pharmaceutical industry,1979-06-29
Microsoft,NASDAQ,MSFT,Information technology,1999-11-01
"Nike, Inc.",NYSE,NKE,Apparel,2013-09-20
Procter & Gamble,NYSE,PG,Fast-moving consumer goods,1932-05-26
Salesforce,NYSE,CRM,Information technology,2020-08-31
The Travelers Companies,NYSE,TRV,Financial services,2009-06-08
UnitedHealth Group,NYSE,UNH,Managed health care,2012-09-24
Verizon Communications,NYSE,VZ,Telecommunication,2004-04-08
Visa Inc.,NYSE,V,Financial services,2013-09-20
Walgreens Boots Alliance,NASDAQ,WBA,Retailing,2018-06-26
Walmart,NYSE,WMT,Retailing,1997-03-17
The Walt Disney Company,NYSE,DIS,Broadcasting and entertainment,1991-05-06
